1373  #SUP: 25 #UTIL: 25560
1444 1290  #SUP: 2 #UTIL: 2485
1444 568  #SUP: 2 #UTIL: 2897
1444 502  #SUP: 2 #UTIL: 3134
1444 1251 1361 768 385 1195  #SUP: 1 #UTIL: 3829
1444 456 768 1304 1022  #SUP: 1 #UTIL: 2443
1444 768  #SUP: 2 #UTIL: 2336
1444 841  #SUP: 1 #UTIL: 1435
1444 635  #SUP: 1 #UTIL: 628
1340  #SUP: 17 #UTIL: 13107
1340 724 774 1190 653 637  #SUP: 1 #UTIL: 4523
1340 575 1268 26 1157 764  #SUP: 1 #UTIL: 3252
1340 271 1436 94 1512 404 414 287 237 1236 1024 244 1446 1186  #SUP: 1 #UTIL: 8511
1340 1417  #SUP: 1 #UTIL: 1493
1340 1456 1279 131 641  #SUP: 1 #UTIL: 4277
1340 824 284 431 837 74 814 733 583 21  #SUP: 1 #UTIL: 4001
1340 1080 691 1057 1124  #SUP: 1 #UTIL: 3055
1340 668 125 398  #SUP: 1 #UTIL: 2886
1340 881 858  #SUP: 1 #UTIL: 1939
1340 497 454 780 1369  #SUP: 1 #UTIL: 3384
1340 518 834 1323 591 1466 14  #SUP: 1 #UTIL: 4614
1340 57 1297 115 65 174 654 211  #SUP: 1 #UTIL: 4664
1340 498  #SUP: 2 #UTIL: 3072
1340 1024  #SUP: 2 #UTIL: 4564
1093  #SUP: 15 #UTIL: 15174
1093 300 117 138 184 893 61 737  #SUP: 1 #UTIL: 6348
1093 756 1526 750  #SUP: 1 #UTIL: 3232
1093 1293 810 877 1247 444  #SUP: 1 #UTIL: 3861
1093 24 137 777 167  #SUP: 1 #UTIL: 3881
1093 1310 889 247 1050 1189 1339  #SUP: 1 #UTIL: 5270
1093 727 544  #SUP: 1 #UTIL: 3158
1093 889  #SUP: 2 #UTIL: 3697
1093 401 405 344 1326 511 594 850  #SUP: 1 #UTIL: 4358
1093 1259 284 1343 667 1149  #SUP: 1 #UTIL: 4273
1093 234 350 583  #SUP: 1 #UTIL: 2582
1093 1050  #SUP: 2 #UTIL: 2735
1093 5  #SUP: 1 #UTIL: 1500
80  #SUP: 15 #UTIL: 17060
80 1459 1526 184 384 679 1482  #SUP: 1 #UTIL: 3084
80 1394 712 569 1321  #SUP: 1 #UTIL: 5067
80 702  #SUP: 1 #UTIL: 2241
80 434 1183 683  #SUP: 1 #UTIL: 1387
80 889 1056 410 1139 1047 348  #SUP: 1 #UTIL: 5188
80 606 1205 14 36 296 496  #SUP: 1 #UTIL: 4921
80 989 473 463  #SUP: 1 #UTIL: 1656
80 856 1515  #SUP: 1 #UTIL: 2628
80 196 429  #SUP: 1 #UTIL: 3044
1538  #SUP: 14 #UTIL: 12912
1538 386  #SUP: 2 #UTIL: 3155
1538 386 1039 789 436 363 846 956  #SUP: 1 #UTIL: 5083
1538 469 486 1222 436 613 586  #SUP: 1 #UTIL: 2182
1538 236  #SUP: 2 #UTIL: 3147
1538 236 1455 480 1289 713 935  #SUP: 1 #UTIL: 6135
1538 236 718 722 612 1515  #SUP: 1 #UTIL: 4615
1538 756 1416 324 140 280 1545  #SUP: 1 #UTIL: 4756
1538 1522  #SUP: 2 #UTIL: 2496
1538 1522 999 667 523 51  #SUP: 1 #UTIL: 3776
1538 529  #SUP: 1 #UTIL: 1895
1538 1202 413 1195  #SUP: 1 #UTIL: 3149
1538 436  #SUP: 2 #UTIL: 2652
1538 935  #SUP: 2 #UTIL: 3600
924  #SUP: 17 #UTIL: 14850
924 308 780 1256 237 1479  #SUP: 1 #UTIL: 1860
924 1081 1473 1540 1107 1184 544  #SUP: 1 #UTIL: 8198
924 631 1357 9 1197 1480 481 475  #SUP: 1 #UTIL: 6990
924 685 868 1145 269 531 1234  #SUP: 1 #UTIL: 4642
924 835 1517 375  #SUP: 1 #UTIL: 2677
924 341 454 1130 142  #SUP: 1 #UTIL: 2880
924 847 1500 535 1317 735 1523  #SUP: 1 #UTIL: 5181
924 695  #SUP: 1 #UTIL: 2488
924 1301  #SUP: 1 #UTIL: 1632
924 1460  #SUP: 1 #UTIL: 1719
1399  #SUP: 18 #UTIL: 10324
1399 1089 434 1310 268  #SUP: 1 #UTIL: 3198
1399 685 1407 24 94 101 456  #SUP: 1 #UTIL: 2962
1399 1459 789 251 760 18  #SUP: 1 #UTIL: 4996
1399 1293 1233 1410 717 910  #SUP: 1 #UTIL: 2721
1399 634 823 1326 1216 85 746  #SUP: 1 #UTIL: 4296
1399 24  #SUP: 2 #UTIL: 1923
1399 24 1006 1509 268 900 817  #SUP: 1 #UTIL: 4351
1399 890 284 480 157 657 646 540  #SUP: 1 #UTIL: 3796
1399 1315 340 1209 1149 61  #SUP: 1 #UTIL: 2643
1399 816 1343  #SUP: 1 #UTIL: 1744
1399 650 1272 1372 767 1509 684 1023  #SUP: 1 #UTIL: 5175
1399 1116 394 1333 551 1276  #SUP: 1 #UTIL: 4012
1399 394 1333  #SUP: 2 #UTIL: 3191
1399 394 1333 1353 544 178 1536 704  #SUP: 1 #UTIL: 4282
1399 617 261 141 185 1277  #SUP: 1 #UTIL: 3925
1399 989 234 224  #SUP: 1 #UTIL: 2207
1399 789  #SUP: 2 #UTIL: 3596
1399 1509  #SUP: 2 #UTIL: 2678
1399 268  #SUP: 2 #UTIL: 2274
308  #SUP: 18 #UTIL: 11554
308 891  #SUP: 2 #UTIL: 2819
308 891 421 109 1097  #SUP: 1 #UTIL: 4367
308 891 965 1248 244 1126 400  #SUP: 1 #UTIL: 4983
308 813 940 1550 797 65  #SUP: 1 #UTIL: 4311
308 1104 312 1127  #SUP: 1 #UTIL: 2809
308 1257 1544 1527  #SUP: 1 #UTIL: 2712
308 940 1550  #SUP: 2 #UTIL: 4394
308 940 1550 1210 1227 478 1424 1274  #SUP: 1 #UTIL: 7895
308 1473 252 491 1284 928  #SUP: 1 #UTIL: 6686
308 219 1163 1500 375 1317  #SUP: 1 #UTIL: 3242
308 1550  #SUP: 3 #UTIL: 4389
308 1550 851 914  #SUP: 1 #UTIL: 3156
308 512 608 758  #SUP: 1 #UTIL: 2318
308 568 1477  #SUP: 1 #UTIL: 2245
308 1350 1130 475 1440  #SUP: 1 #UTIL: 3239
308 1499 790 331  #SUP: 1 #UTIL: 2151
1110  #SUP: 21 #UTIL: 17920
1110 1547 744 1177 145 1393 35  #SUP: 1 #UTIL: 4047
1110 756 1073 301 57 534 1143  #SUP: 1 #UTIL: 7056
1110 1453 1116 1270 261 987 328  #SUP: 1 #UTIL: 5050
1110 235 890 1200  #SUP: 1 #UTIL: 3342
1110 816 1259 810 600 167  #SUP: 1 #UTIL: 3038
1110 727 1227 1050 534 1216  #SUP: 1 #UTIL: 4531
1110 105 261 1044 987  #SUP: 1 #UTIL: 5132
1110 361 611  #SUP: 1 #UTIL: 1507
1110 1260 811 1231 168 1014  #SUP: 1 #UTIL: 4183
1110 368 1499 345 1520  #SUP: 1 #UTIL: 2905
1110 767 1542 1187  #SUP: 1 #UTIL: 2770
1110 454 288 1420 1330  #SUP: 1 #UTIL: 2595
1110 261 987  #SUP: 2 #UTIL: 6118
1110 534  #SUP: 2 #UTIL: 4721
1110 904 1420 894 694  #SUP: 1 #UTIL: 3038
1110 58 185 41 794  #SUP: 1 #UTIL: 2362
1110 1420  #SUP: 2 #UTIL: 2438
1110 1466 690 1033  #SUP: 1 #UTIL: 2338
1110 1546 34 144  #SUP: 1 #UTIL: 1285
1110 681  #SUP: 1 #UTIL: 1019
1380  #SUP: 17 #UTIL: 19548
1380 338  #SUP: 3 #UTIL: 3045
1380 338 1159 1469 504  #SUP: 1 #UTIL: 3063
1380 338 442 26 1447 987 592 226  #SUP: 1 #UTIL: 4003
1380 338 16 1470 505  #SUP: 1 #UTIL: 3027
1380 724 691 454 841 1064 741 392  #SUP: 1 #UTIL: 4614
1380 1104  #SUP: 2 #UTIL: 4249
1380 121 155 843 743  #SUP: 1 #UTIL: 4280
1380 1384 1030 1147  #SUP: 1 #UTIL: 3295
1380 94 1037  #SUP: 1 #UTIL: 1865
1380 1068 1268 1484 864  #SUP: 1 #UTIL: 2795
1380 1237 1253  #SUP: 1 #UTIL: 2957
1380 111 1120 1303 177 21 704  #SUP: 1 #UTIL: 5007
1380 1324 442 798 1447 598  #SUP: 1 #UTIL: 5724
1380 442 1447  #SUP: 2 #UTIL: 5496
1380 1437 854  #SUP: 1 #UTIL: 1740
1380 1470  #SUP: 2 #UTIL: 3618
386  #SUP: 17 #UTIL: 10927
386 352 469 1139 1388 1515  #SUP: 1 #UTIL: 3367
386 474 946 1089 940 403 524  #SUP: 1 #UTIL: 5185
386 267 1324 1028 290 546 1032 282  #SUP: 1 #UTIL: 4289
386 469  #SUP: 3 #UTIL: 3168
386 469 276 1351 968 219 1424  #SUP: 1 #UTIL: 4800
386 469 975 725 353 1102  #SUP: 1 #UTIL: 3729
386 236 951 908 229 679 1234  #SUP: 1 #UTIL: 3243
386 270 376 1251 619 209 1031  #SUP: 1 #UTIL: 5461
386 1384 486 609 908  #SUP: 1 #UTIL: 2508
386 137  #SUP: 1 #UTIL: 1779
386 274 856 74 1062  #SUP: 1 #UTIL: 1866
386 1272 1002 730 852 713 436  #SUP: 1 #UTIL: 3847
386 908  #SUP: 2 #UTIL: 1682
386 193 875 709  #SUP: 1 #UTIL: 3320
386 542 1478  #SUP: 2 #UTIL: 3840
386 542 1478 1108 1391  #SUP: 1 #UTIL: 3808
386 436  #SUP: 2 #UTIL: 2256
189  #SUP: 15 #UTIL: 16215
189 266 1281 622 146 1404  #SUP: 1 #UTIL: 4796
189 1264 468 484 1443 1527 1277 1287  #SUP: 1 #UTIL: 4966
189 300 1165 1354 372 1248 616  #SUP: 1 #UTIL: 6328
189 941 305 332 155 205 1414  #SUP: 1 #UTIL: 6375
189 1310 1318 1275 1302 632 93  #SUP: 1 #UTIL: 3526
189 383 705 872  #SUP: 1 #UTIL: 3565
189 1431 795 732  #SUP: 1 #UTIL: 2782
189 832 1158 825 316 289 1125 1188  #SUP: 1 #UTIL: 5214
189 443  #SUP: 2 #UTIL: 2868
189 443 1435 1231 293 1385 1298  #SUP: 1 #UTIL: 4195
189 443 865 725 659 399 1021  #SUP: 1 #UTIL: 5893
189 1354  #SUP: 2 #UTIL: 3451
189 1354 705 395 1537 544 178 255  #SUP: 1 #UTIL: 5095
189 316 289  #SUP: 2 #UTIL: 3333
189 705  #SUP: 2 #UTIL: 3119
189 952 902 392 1052  #SUP: 1 #UTIL: 3236
189 1537  #SUP: 2 #UTIL: 3435
189 1537 196 1105  #SUP: 1 #UTIL: 2965
1347  #SUP: 20 #UTIL: 9912
1347 1118 1374 1314 991 675 1491 166  #SUP: 1 #UTIL: 6672
1347 382 1451 798 1258 981  #SUP: 1 #UTIL: 2753
1347 338 941 1103 920  #SUP: 1 #UTIL: 2318
1347 49  #SUP: 2 #UTIL: 2398
1347 49 339 249 405 1530 1064 1187  #SUP: 1 #UTIL: 5396
1347 266 1048 1054 511 412 1391  #SUP: 1 #UTIL: 2879
1347 278 1154 1243  #SUP: 1 #UTIL: 2284
1347 625 1374 1484 1247 997 658 741  #SUP: 1 #UTIL: 5089
1347 1473 11 344 311 1447  #SUP: 1 #UTIL: 4154
1347 1374  #SUP: 2 #UTIL: 3085
1347 860 1177 251 168 771  #SUP: 1 #UTIL: 3416
1347 33 1275 771  #SUP: 1 #UTIL: 1313
1347 1204 1220 399  #SUP: 1 #UTIL: 2328
1347 898 1043 914 621 571 1037 1187  #SUP: 1 #UTIL: 3447
1347 405  #SUP: 2 #UTIL: 3468
1347 405 675 132  #SUP: 1 #UTIL: 3291
1347 744 1437 1510 827 195 1327  #SUP: 1 #UTIL: 2246
1347 284 1130 1064 1087  #SUP: 1 #UTIL: 2151
1347 877 1153 277 953 693 1243  #SUP: 1 #UTIL: 4234
1347 675  #SUP: 2 #UTIL: 3575
1347 1191 638  #SUP: 1 #UTIL: 1895
1347 1243  #SUP: 2 #UTIL: 1770
1347 1064  #SUP: 2 #UTIL: 1209
1347 1187  #SUP: 2 #UTIL: 2248
1347 771  #SUP: 2 #UTIL: 1958
1118  #SUP: 15 #UTIL: 13178
1118 1308 249 419 482 1058  #SUP: 1 #UTIL: 4835
1118 1278 968 502 415 974 432 552  #SUP: 1 #UTIL: 4676
1118 469 357 1511  #SUP: 1 #UTIL: 1744
1118 1081 475 731 32  #SUP: 1 #UTIL: 4268
1118 724 121 1324 1130 1301 814 648  #SUP: 1 #UTIL: 5688
1118 1378  #SUP: 2 #UTIL: 2340
1118 1378 1257 1407 958 1162 315  #SUP: 1 #UTIL: 3482
1118 1378 1301 110 176  #SUP: 1 #UTIL: 2898
1118 1417 1504 419 862 1134 1467  #SUP: 1 #UTIL: 6445
1118 968  #SUP: 3 #UTIL: 4210
1118 968 1002 1018  #SUP: 1 #UTIL: 2387
1118 968 502 415 432 552  #SUP: 2 #UTIL: 9285
1118 968 502 415 432 552 975 864  #SUP: 1 #UTIL: 6947
1118 419  #SUP: 2 #UTIL: 4612
1118 1222 962 939 1421 159  #SUP: 1 #UTIL: 3430
1118 1301  #SUP: 2 #UTIL: 2520
1118 1428 912 901  #SUP: 1 #UTIL: 3722
1118 475 32  #SUP: 2 #UTIL: 4771
352  #SUP: 18 #UTIL: 3342
352 30 518 1271 529 412 762  #SUP: 1 #UTIL: 4553
352 1281 971  #SUP: 1 #UTIL: 1820
352 625 958 9 725 336 36 895  #SUP: 1 #UTIL: 3733
352 231 774 214 917 768 302  #SUP: 1 #UTIL: 4247
352 812 535 901  #SUP: 1 #UTIL: 2885
352 418 1544 375 635 628  #SUP: 1 #UTIL: 2840
352 624 861 911 895 1011 562  #SUP: 1 #UTIL: 3713
352 1267 395 974 678  #SUP: 1 #UTIL: 2020
352 1525 39 855  #SUP: 1 #UTIL: 3655
352 1189  #SUP: 1 #UTIL: 210
352 1067 1105  #SUP: 1 #UTIL: 1103
352 1411  #SUP: 2 #UTIL: 2178
352 895  #SUP: 2 #UTIL: 789
1308  #SUP: 18 #UTIL: 12642
1308 426 33 1331 233 942 343  #SUP: 1 #UTIL: 3930
1308 260 898 1075 576 959  #SUP: 1 #UTIL: 3110
1308 922 173 1209 206  #SUP: 1 #UTIL: 3212
1308 1351 1285 919 10 209  #SUP: 1 #UTIL: 2860
1308 33 942  #SUP: 2 #UTIL: 3524
1308 33 942 1469 1525 743 587  #SUP: 1 #UTIL: 4267
1308 79 1132 522 395 1192 1541  #SUP: 1 #UTIL: 4457
1308 104 853  #SUP: 1 #UTIL: 2328
1308 493 479 517 1322  #SUP: 1 #UTIL: 4158
1308 865 420 769 360 536  #SUP: 1 #UTIL: 2668
1308 1169 842 892 60 1458  #SUP: 1 #UTIL: 4832
1308 1154 1491  #SUP: 1 #UTIL: 1541
1308 1025  #SUP: 2 #UTIL: 1756
1308 1119  #SUP: 1 #UTIL: 1666
1308 60  #SUP: 2 #UTIL: 2354
1308 765  #SUP: 2 #UTIL: 2958
520  #SUP: 16 #UTIL: 14840
520 946 923 131 1036 127  #SUP: 1 #UTIL: 4990
520 266 1098 736 803 942 476  #SUP: 1 #UTIL: 6102
520 1076 620 1042  #SUP: 1 #UTIL: 2864
520 54 1512 1163 909 1169 953 1462  #SUP: 1 #UTIL: 6665
520 108 301 744 1316 1256 1433  #SUP: 1 #UTIL: 4886
520 270 1019 437  #SUP: 1 #UTIL: 1272
520 231 1463 377 248  #SUP: 1 #UTIL: 1584
520 1540 1063 591 504 204 1207  #SUP: 1 #UTIL: 4830
520 604 354  #SUP: 1 #UTIL: 1945
520 714 1203 1036  #SUP: 1 #UTIL: 3426
520 183 886 337 796  #SUP: 1 #UTIL: 3840
520 943 643  #SUP: 1 #UTIL: 2317
520 870 1379 264  #SUP: 1 #UTIL: 3232
520 1036  #SUP: 2 #UTIL: 3524
1278  #SUP: 16 #UTIL: 14382
1278 891 1241 908 192 635 1008  #SUP: 1 #UTIL: 4031
1278 1378 357 656  #SUP: 1 #UTIL: 3471
1278 916 922 379 1216 845 280  #SUP: 1 #UTIL: 5648
1278 1362 303 1168 1112 686  #SUP: 1 #UTIL: 5597
1278 153 369 109 1507  #SUP: 1 #UTIL: 3674
1278 1237 1241 234  #SUP: 1 #UTIL: 3634
1278 1241  #SUP: 2 #UTIL: 3746
1278 529 779 590  #SUP: 1 #UTIL: 3963
1278 656  #SUP: 2 #UTIL: 4669
1278 656 13 1122 983 700  #SUP: 1 #UTIL: 4510
1001  #SUP: 17 #UTIL: 12852
1001 1150  #SUP: 2 #UTIL: 4635
1001 1150 584 861 535  #SUP: 1 #UTIL: 5549
1001 1150 701 491 58 707  #SUP: 1 #UTIL: 4444
1001 236 1245 818 425 348  #SUP: 1 #UTIL: 3293
1001 625 369 285 874 1111  #SUP: 1 #UTIL: 2858
1001 702 492 708 1151 59  #SUP: 1 #UTIL: 5916
1001 486 265 1168  #SUP: 1 #UTIL: 4435
1001 863 1367 818  #SUP: 1 #UTIL: 2945
1001 701  #SUP: 2 #UTIL: 2037
1001 701 1034 1151 1051 905  #SUP: 1 #UTIL: 2737
1001 152 518 795 585 955 801  #SUP: 1 #UTIL: 5952
1001 1251 1168 192 1062 425  #SUP: 1 #UTIL: 2502
1001 1241 1047 172 1551 5  #SUP: 1 #UTIL: 4655
1001 275 1057 840 1123 119  #SUP: 1 #UTIL: 4095
1001 608 1517 990 791 1207  #SUP: 1 #UTIL: 3659
1001 1168  #SUP: 2 #UTIL: 3804
1001 485 1167 264  #SUP: 1 #UTIL: 2700
1001 1151  #SUP: 2 #UTIL: 2198
1001 818  #SUP: 3 #UTIL: 3735
1001 425  #SUP: 2 #UTIL: 1900
891  #SUP: 17 #UTIL: 12844
891 1257 968 1361 708 292 1168  #SUP: 1 #UTIL: 5356
891 1394 785 641 1467  #SUP: 2 #UTIL: 7029
891 1394 785 641 1467 702 153  #SUP: 1 #UTIL: 5340
891 1394 785 641 1467 701 152  #SUP: 1 #UTIL: 4290
891 1407 1511 502 498 1295  #SUP: 1 #UTIL: 2058
891 121 1136 414 458 115  #SUP: 1 #UTIL: 4640
891 1374 111 1174 914  #SUP: 1 #UTIL: 4196
891 1261 26 1494 1245 974 342 99  #SUP: 1 #UTIL: 3465
891 321  #SUP: 1 #UTIL: 1711
891 1068 951 252 569 1301  #SUP: 1 #UTIL: 4429
891 9 1361 1145 1428 579  #SUP: 1 #UTIL: 3798
891 1361  #SUP: 2 #UTIL: 2387
891 1235 769 109 1312 1052  #SUP: 1 #UTIL: 3696
891 109  #SUP: 2 #UTIL: 4395
891 1097  #SUP: 2 #UTIL: 2804
474  #SUP: 15 #UTIL: 16192
474 940 524  #SUP: 2 #UTIL: 4787
474 235 884 1277 1483 1266  #SUP: 1 #UTIL: 5002
474 890 1439 1073 1350 1129  #SUP: 1 #UTIL: 4134
474 1455 401 1222 1206 717 1349  #SUP: 1 #UTIL: 6324
474 934 58 1023  #SUP: 1 #UTIL: 3428
474 1129  #SUP: 2 #UTIL: 3570
474 491  #SUP: 1 #UTIL: 2812
474 241 64 983 97 124 1013  #SUP: 1 #UTIL: 4015
474 131 457 181 747 597  #SUP: 1 #UTIL: 4415
474 424 573  #SUP: 1 #UTIL: 2507
267  #SUP: 17 #UTIL: 4316
267 1104 218 544 833 561  #SUP: 1 #UTIL: 4515
267 1459 1259 550 483 1103 427 224  #SUP: 1 #UTIL: 4228
267 903 121 909 1246 1203 367  #SUP: 1 #UTIL: 4668
267 922 101 1305 1143 1422 97  #SUP: 1 #UTIL: 3245
267 832 217 366 1481 1475 250 1265  #SUP: 1 #UTIL: 4662
267 44 1223 1369  #SUP: 1 #UTIL: 2589
267 417 1272 1409  #SUP: 2 #UTIL: 4810
267 417 1272 1409 1359 1205 577  #SUP: 1 #UTIL: 5166
267 417 1272 1409 164 1206 51  #SUP: 1 #UTIL: 4375
267 101  #SUP: 2 #UTIL: 847
267 101 350 157 1232 866 1255 849  #SUP: 1 #UTIL: 4070
267 512 63  #SUP: 1 #UTIL: 1661
267 599 1138 123 1209  #SUP: 1 #UTIL: 5261
267 330 906 1072 1155 97 966  #SUP: 1 #UTIL: 4278
267 17  #SUP: 1 #UTIL: 847
267 97  #SUP: 2 #UTIL: 745
267 966  #SUP: 2 #UTIL: 2075
640  #SUP: 16 #UTIL: 13209
640 940 104 4  #SUP: 2 #UTIL: 7566
640 940 104 4 1416 131 973  #SUP: 1 #UTIL: 6391
640 940 104 4 1002  #SUP: 1 #UTIL: 4610
640 1456 530 153 1433 636  #SUP: 1 #UTIL: 6087
640 24 1511  #SUP: 1 #UTIL: 1536
640 753 574 1429 25 71 208  #SUP: 1 #UTIL: 4949
640 1029 1006 1489 1289 41  #SUP: 1 #UTIL: 3240
640 1543 234 811 324 1273  #SUP: 1 #UTIL: 5396
640 1272 234 1542 324 396  #SUP: 1 #UTIL: 4759
640 606 1465 1328 979 1355 723 1228  #SUP: 1 #UTIL: 5816
640 1006 1489 41  #SUP: 2 #UTIL: 4628
640 1006 1489 41 1432 1443 124  #SUP: 1 #UTIL: 4098
640 130  #SUP: 2 #UTIL: 2410
640 130 1485 790  #SUP: 1 #UTIL: 2050
640 234 324  #SUP: 2 #UTIL: 4947
640 164 1276  #SUP: 1 #UTIL: 1838
640 957 1506 551 1127  #SUP: 1 #UTIL: 4651
640 739 623 590  #SUP: 1 #UTIL: 2668
469  #SUP: 19 #UTIL: 6837
469 382 1085  #SUP: 1 #UTIL: 2060
469 751 492 102 535 331  #SUP: 1 #UTIL: 4297
469 1378  #SUP: 1 #UTIL: 477
469 1407 365 53 619 3 253 1474  #SUP: 1 #UTIL: 4560
469 270 1072 1466 1478 996 114 91  #SUP: 1 #UTIL: 4369
469 1374 1261 1451 492 286  #SUP: 1 #UTIL: 3226
469 1540 1451 931 299  #SUP: 1 #UTIL: 3355
469 1451  #SUP: 2 #UTIL: 1908
469 492  #SUP: 2 #UTIL: 1659
469 795 519 1085 935  #SUP: 1 #UTIL: 3388
469 26 1075 1112  #SUP: 1 #UTIL: 2087
469 186 1471 142 1022 1178  #SUP: 1 #UTIL: 4534
469 542 1274 846 1358  #SUP: 1 #UTIL: 2437
469 1085  #SUP: 2 #UTIL: 2342
469 353  #SUP: 2 #UTIL: 1587
1007  #SUP: 17 #UTIL: 13166
1007 685 1417 1068 1184 369  #SUP: 1 #UTIL: 4701
1007 1257 431 1067 198 1513  #SUP: 1 #UTIL: 1772
1007 1456 1306 1356 797 364 1013  #SUP: 1 #UTIL: 5059
1007 824  #SUP: 2 #UTIL: 3293
1007 824 1386 431 837 354  #SUP: 1 #UTIL: 3224
1007 1296 1147 731  #SUP: 1 #UTIL: 3395
1007 1223  #SUP: 2 #UTIL: 2397
1007 1223 624 1017 1533  #SUP: 1 #UTIL: 4249
1007 518 841 616  #SUP: 1 #UTIL: 2403
1007 431  #SUP: 2 #UTIL: 1746
1007 364  #SUP: 2 #UTIL: 3576
382  #SUP: 22 #UTIL: 10044
382 1081 445 1397 1054 212  #SUP: 1 #UTIL: 4008
382 1357 325 402 565  #SUP: 1 #UTIL: 2085
382 355 1241 698 1304 971  #SUP: 1 #UTIL: 3230
382 1417 848 708 425 172 642  #SUP: 1 #UTIL: 5561
382 831 522 106  #SUP: 1 #UTIL: 2632
382 105 471 898 1480 1064 162  #SUP: 1 #UTIL: 4104
382 1268 409 725 1330 998  #SUP: 1 #UTIL: 2975
382 952  #SUP: 1 #UTIL: 1197
382 1245 519 935 315 719  #SUP: 1 #UTIL: 3809
382 311 854 1330 998 1553  #SUP: 1 #UTIL: 2593
382 1058 1214  #SUP: 1 #UTIL: 1547
382 1071  #SUP: 1 #UTIL: 1380
382 1330 998  #SUP: 2 #UTIL: 1930
489  #SUP: 17 #UTIL: 13014
489 383 79 895 6  #SUP: 1 #UTIL: 2324
489 1487 1504 17 965 732 1188 632  #SUP: 1 #UTIL: 4058
489 1165 1142 566 959 1520 971  #SUP: 1 #UTIL: 4801
489 606 456 506 156 360 633  #SUP: 1 #UTIL: 3750
489 329 749 532 100 1192  #SUP: 1 #UTIL: 5487
489 526 599 775 1331 1414  #SUP: 1 #UTIL: 3453
489 532  #SUP: 2 #UTIL: 5557
489 532 815 1404 1111  #SUP: 1 #UTIL: 3802
489 1043 577 207 1199 1492  #SUP: 1 #UTIL: 3948
489 1117  #SUP: 1 #UTIL: 1815
489 576 1198 1492 1042 206  #SUP: 1 #UTIL: 3309
489 140  #SUP: 1 #UTIL: 1510
489 1492  #SUP: 2 #UTIL: 2838
1348  #SUP: 18 #UTIL: 14326
1348 878 152 1132 1554 1415  #SUP: 1 #UTIL: 4548
1348 1088 79 1548 1271 146 672  #SUP: 1 #UTIL: 6511
1348 1431 373 1182 129 605 828  #SUP: 1 #UTIL: 4208
1348 1132  #SUP: 2 #UTIL: 2644
1348 73 568 273 1415 1371  #SUP: 1 #UTIL: 4423
1348 839 233  #SUP: 1 #UTIL: 1676
1348 999 202 1115 938 1541  #SUP: 1 #UTIL: 4408
1348 1554  #SUP: 2 #UTIL: 3253
1348 715 399  #SUP: 1 #UTIL: 2111
1348 1182  #SUP: 2 #UTIL: 2322
1348 576 809 399 460 905  #SUP: 1 #UTIL: 2961
1348 678 595 166 139 39 562  #SUP: 1 #UTIL: 4598
1348 439  #SUP: 1 #UTIL: 1441
1348 60 399 77  #SUP: 1 #UTIL: 2654
1348 1415  #SUP: 2 #UTIL: 3762
1348 399  #SUP: 3 #UTIL: 3500
338  #SUP: 19 #UTIL: 3297
338 631 492 332 675 1353 1108  #SUP: 1 #UTIL: 5179
338 937 1293 261 500 317  #SUP: 1 #UTIL: 3670
338 355 727 898 12 627 39 960  #SUP: 1 #UTIL: 4730
338 1453 1419 1120 997 897  #SUP: 1 #UTIL: 3051
338 1473 1374  #SUP: 1 #UTIL: 1924
338 1113 1359 344 637 498 681  #SUP: 1 #UTIL: 2713
338 1237 365 1208 881 1174 239 875  #SUP: 1 #UTIL: 6193
338 1174  #SUP: 2 #UTIL: 1818
338 1174 620 65 1330 294  #SUP: 1 #UTIL: 3990
338 1220 494 1297 132 315 199 694  #SUP: 1 #UTIL: 4682
338 1070 1154 228 265 748  #SUP: 1 #UTIL: 3371
338 887 798 521  #SUP: 1 #UTIL: 2555
338 28 930 248 527 1249 764  #SUP: 1 #UTIL: 5490
338 548 1064 754  #SUP: 1 #UTIL: 1937
338 974 88 465 1274 438 1307  #SUP: 1 #UTIL: 2873
338 621  #SUP: 1 #UTIL: 449
49  #SUP: 17 #UTIL: 17238
49 278 321 1314 604 1157  #SUP: 1 #UTIL: 4414
49 149  #SUP: 2 #UTIL: 4109
49 149 271 604 1320 1047 571  #SUP: 1 #UTIL: 5384
49 1257 1374 558  #SUP: 2 #UTIL: 5969
49 1257 1374 558 1197  #SUP: 1 #UTIL: 4611
49 1257 1374 558 53  #SUP: 1 #UTIL: 4011
49 1351 536  #SUP: 1 #UTIL: 2061
49 321 1314 604  #SUP: 2 #UTIL: 4922
49 321 1314 604 1158 692  #SUP: 1 #UTIL: 3049
49 492 1098 721 748  #SUP: 1 #UTIL: 3234
49 604  #SUP: 3 #UTIL: 4630
49 442 1530 648 1004  #SUP: 1 #UTIL: 3823
49 1530  #SUP: 2 #UTIL: 3044
49 375 664  #SUP: 1 #UTIL: 2397
49 1108 286  #SUP: 1 #UTIL: 1594
1045  #SUP: 17 #UTIL: 21090
1045 136 529 519  #SUP: 1 #UTIL: 5050
1045 701 708 1477  #SUP: 1 #UTIL: 3497
1045 668 329  #SUP: 1 #UTIL: 2441
1045 879 142  #SUP: 1 #UTIL: 2740
1045 79 1481 678 163 1471 1527  #SUP: 1 #UTIL: 7426
1045 492 629 1195  #SUP: 1 #UTIL: 2304
1045 839 629 1355 829  #SUP: 1 #UTIL: 1943
1045 452 935  #SUP: 1 #UTIL: 3344
